category_scores,hotkey,last_submit,screener_passed,status,total_score
"{'Easy': -0.2915209780919099, 'Medium': 0.8715274437730907, 'Hard': -0.03540237476629349}",5EHLsayYAiJa26doZMfXKhrpeuoK6kqAud5wj43VjJgmwS46,2026-06-13T01:25:29.613596Z,True,scored,0.7161994011546984
"{'Easy': 0.27469084853312875, 'Medium': 0.617033081349617, 'Hard': 1.1652115337471045}",5Hixdfvu9XyXX5gSyXsZ58gA6nYVLBSr7hW9Ty9sWxbPnD5P,2026-06-13T11:19:56.676986Z,True,scored,0.693864240663487
"{'Easy': 0.7448376040158973, 'Medium': 0.5439667424910475, 'Hard': 0.7178938118033829}",5CJ3qYQ4ZNiezAd21fpA73KYWzGdWmke6QYU7gsHgMpbkLus,2026-06-14T16:29:17.652280Z,True,scored,0.6673806217451936
"{'Easy': 0.6014728394624687, 'Medium': 0.5704554886659761, 'Hard': 0.7132085001541801}",5Dt8wmVq2gBpnboxgJFvTyTzaUa7ys7fwfPsWtQ8BavS2bct,2026-06-16T06:17:06.099769Z,True,scored,0.628917064826843
"{'Easy': 0.4984377189393987, 'Medium': 0.29354620482433713, 'Hard': 1.0517569725674587}",5ETwa6smwUa7eB8aBfNjtRL8ujj1S5zWxVw2ZX3SEboiBZEY,2026-06-10T17:55:55.058891Z,True,scored,0.616903150373818
"{'Easy': 0.34505505017543747, 'Medium': 0.35946160630693136, 'Hard': 1.0282892138059587}",5ECsyg7iGn5T7rqBS7QBAfX2tmJdrcN9yGCWSYeVXivcbyij,2026-06-15T17:52:31.463023Z,True,scored,0.5822528948945225
"{'Easy': 0.37795044500459074, 'Medium': 0.15212233803465125, 'Hard': 0.9932121415816253}",5H66TCkbrTWU3W1W1ppkHnq5w7JH9Er829Ziz5zu7o67Tp7V,2026-06-16T13:15:52.909278Z,True,scored,0.5103578654710033
"{'Easy': 0.2839406895695422, 'Medium': 0.17135692465433472, 'Hard': 1.0483375599419302}",5GZX1HBHmnNE6NpUpSbkdta75H9MyXK7ddsCnugBMzqTgUK2,2026-06-12T15:02:05.837240Z,True,scored,0.5055571454249836
"{'Easy': 0.1929755380460625, 'Medium': 0.2325994272114862, 'Hard': 0.9053339019172704}",5GqJjt7q7gfb7nFttzrq3zwiNHVKcbCihqhYTvFyQhDYGEEs,2026-06-13T15:47:04.659145Z,True,scored,0.4486495040785172
"{'Easy': -0.8775387314671206, 'Medium': 0.5630827168542831, 'Hard': 0.8687571144461508}",5G26PEPrKDUnRG2qg4pagp4Uvq59D3wGnzxPri8t2BaELM3u,2026-06-08T20:59:41.297852Z,True,scored,0.4369038536499765
"{'Easy': -0.3638338395235863, 'Medium': -0.18933974949479815, 'Hard': 0.8499734039426743}",5FRUesGSMueRhn4S6UjkFTY3aUawdd7vMLL45ctm9twXWfrb,2026-06-11T13:01:05.650813Z,True,scored,0.12741792987091305
"{'Easy': -1.1868003047457099, 'Medium': 0.5832246569153989, 'Hard': 0.2257461980081379}",5GGyYCHRykMWbyouXtATvSGXHhoT1AiHzpahECpFKvyAbKnf,2026-06-10T10:12:53.781964Z,True,scored,0.1151620660445074
"{'Easy': -0.22771263975669997, 'Medium': 0.4816603105669852, 'Hard': -0.6335132823986953}",5Dt1C98zAd9fNv36tBUhVpWkMBxD2E9msRTYHXMy9Ume4KnV,2026-06-16T14:55:27.974842Z,True,scored,0.0614015441486222
"{'Easy': -0.2674373984240406, 'Medium': 1.2440194720954025}",5HZ9HWRfp5GdZQDGVk9CrZhJAyn8TZNA449geBXhoZDAqtfX,2026-06-16T03:49:40.325123Z,True,no api key,0.03485397567984805
"{'Easy': 0.2757548738150426, 'Medium': -0.42921939386356067, 'Hard': 0.04327423986901291}",5EFCcz738jS63EaAFa1t91UNueVcgdTdqJLLc3Jf3zzikd7C,2026-06-14T14:21:11.708314Z,True,scored,-0.042979792737332545
"{'Easy': -0.35965183608461304, 'Medium': 0.005765474308653928, 'Hard': 0.12224240800293185}",5FCV3re83d4WCYo6jjbKNGvsLSDwHEpMb7M2mXWowAe2FJrK,2026-06-16T14:54:43.363115Z,True,scored,-0.054203320808218436
"{'Easy': -0.10269636405856497, 'Medium': -0.5048132373289413, 'Hard': 0.13435607463166566}",5CFLZtt6Ez1s7FAbGFMQDMU5fGgtadSMvwcrBKJCM6pEvA3Z,2026-06-10T21:33:15.549369Z,True,in queue,-0.15881827181581443
"{'Easy': -0.31606458608256993, 'Medium': -0.35404350393047723, 'Hard': -0.03631616145960859}",5GjfFyiQXB5pvX3o81SUAox28ZNcrd33nAUgE3GahDGkxcu7,2026-06-12T12:49:46.056650Z,True,scored,-0.23386295377905153
"{'Easy': 0.3809982889910657, 'Medium': 0.39174367975031643, 'Hard': -1.733382995122299}",5HjCmzdhitt8fMAMXR2FSkwsaFK7wHEBoQBixioqv1SchsJP,2026-06-12T18:30:52.331955Z,True,scored,-0.35119082469130447
"{'Easy': -0.08789148209087028, 'Medium': -0.12883709347118044, 'Hard': -2.230721005250961}",5GjMm9ysBsmmjyX7MHnLxx76KLHzwuXMQEQUqytxAqSyW7ui,2026-06-16T14:55:09.774440Z,True,scored,-0.3705221370874261
"{'Easy': -2.1874893062481764, 'Medium': 0.42471380406106185, 'Hard': -0.22090823525957948}",5F9khyvoTbxU7MVKoxyCezZk7FDu496NwLvPHJo5jQkFEokH,2026-06-10T14:40:04.456976Z,True,scored,-0.3943302711532648
"{'Easy': 0.507373441936295, 'Medium': 0.28275333887574305, 'Hard': -2.3988933741618053}",5CqobqKZUPDRQKX8AiumKANc3NaE7tVqySy4DwP2w2xRh2Fi,2026-06-15T16:09:04.760257Z,True,scored,-0.4690476267325199
"{'Easy': -1.3852395551393673, 'Medium': 0.9111239181380073, 'Hard': -2.0016483362341537}",5CRnr7QSW8Q5xYqyDZDoT2a5NaAyEM7sUBzG4JHf9jVa3xuq,2026-06-12T11:09:31.009932Z,True,scored,-0.547565909631694
"{'Easy': -0.7066713390373103, 'Medium': 0.5170994700352658, 'Hard': -1.7885768814272862}",5CktnReyPwThRwXnrEBJM7J9c39o1HvxtVRhKzFsd3wvJ4xw,2026-06-10T18:50:10.505186Z,True,scored,-0.6226299000385884
"{'Easy': -3.5006001409680794, 'Medium': -0.017488239677831974, 'Hard': -1.9525409452284088}",5EvmuzP3MbNBh85c94BGDYeGvi5b8FpuoZbpqPkGGjTNTVVY,2026-06-13T20:34:23.446039Z,True,scored,-0.7914571739138214
"{'Easy': -1.8322446057480013, 'Medium': 0.16788685318919683, 'Hard': -2.082467745865369}",5GRbLYGJreYqvBg9ATcR5AXJ5VGvaHoCstFZQdyy6g149eRD,2026-06-11T15:28:59.219748Z,True,scored,-0.7990477746174633
"{'Easy': -1.4157412993233311, 'Medium': -0.8926983427926238, 'Hard': -0.35166160806839075}",5DRhhSfyRkeL5zX1fmFrGNnqLDv9ZatpcsxFV8yhCsaACz5y,2026-06-08T19:07:51.192807Z,True,scored,-0.876119599076211
"{'Easy': -1.6653856164445848, 'Medium': -1.2751326687305613, 'Hard': -0.05885499852827891}",5EhD3GfXGQhrp9wsvamGcC46HA2ksaXWnAETHZpQczNo178P,2026-06-13T15:53:39.989058Z,True,scored,-0.9864792041302728
"{'Easy': -1.3433120633004307, 'Medium': -1.3208742426601359, 'Hard': -0.3768017335983598}",5EqYbCzNCphW1QmztNNywccLwoWeM1PqRZHAM4TwsUsHQGn1,2026-06-14T23:41:08.329832Z,True,scored,-1.007069692184026
"{'Easy': -0.3010747945942436, 'Medium': 1.0543719650517902, 'Hard': -3.702085322422739}",5H6v798HWMGukmKdfe6ugZvjY3YajLEH6THUkGBM3RkeQLFm,2026-06-08T18:18:27.112110Z,True,scored,-1.0754437791758815
"{'Easy': -1.3471123975793522, 'Medium': -1.452615757326707, 'Hard': -0.8445910193192896}",5D1r14x6Qw5PZRUgkRkJMtpCfjzgEbF3JJS1TqTJTvmVC6e9,2026-06-11T11:01:55.324891Z,True,scored,-1.2121262712850314
"{'Easy': -1.3940681289406767, 'Medium': -1.3226955431608753, 'Hard': -1.00380967149378}",5DPnuS5Nu7HosT3iE3oqYJkwQbofSGGyFZKFGbrpKuEzSxUx,2026-06-15T18:20:59.643600Z,True,scored,-1.2371135742435992
"{'Easy': -1.7890013424253413, 'Medium': -1.4225822815900244, 'Hard': -1.1542749949155051}",5GuVh9N6vbd2ns4PuVMUUE64qxzBX1e1HRZDLdcDwcQgXomN,2026-06-09T16:30:58.759788Z,True,scored,-1.448611903587989
"{'Easy': -1.8941499680499652, 'Medium': -1.7658217058372987, 'Hard': -1.059146440295927}",5HQzJmriuQiA6m8Unce9FngufM6oL6JbmzZHnycWWKioab3Y,2026-06-09T20:59:45.052302Z,True,scored,-1.566617159461284
"{'Easy': -1.8200466960164232, 'Medium': 0.42478508710725116, 'Hard': -3.5512407700373063}",5GNf5mUBXEH5i3b6rjfzpX6M8ruGrXrPomeacsj4jvNQdik4,2026-06-12T17:55:44.209731Z,True,scored,-1.6363332775843036
"{'Easy': -1.974224061496085, 'Medium': -1.9281767651120618, 'Hard': -1.1991291008688223}",5H11C9R2ceiWDwyXn1ukFq3KmztuuogRNuEWNjroS1WvGKqa,2026-06-13T15:04:43.006913Z,True,scored,-1.695035694112247
"{'Easy': -2.175202595165038, 'Medium': -2.166299532673597, 'Hard': -1.362346858813158}",5F7ZFW8JyAr549hKJarNFCT2UMk2gFZvXfvoE46FTzd5ysnq,2026-06-10T13:48:40.341273Z,True,scored,-1.8958046035583083
"{'Easy': -2.2410731933835426, 'Medium': -2.7719717154165178, 'Hard': -1.1107155684113614}",5GxVDi3od8Fvjs2E8oxuuAcLE5Vu3D9bCphSEK9gH8RSXyV3,2026-06-12T21:23:23.268002Z,True,scored,-2.0372570983842113
"{'Easy': -2.450939513849215, 'Medium': -2.846905726396034, 'Hard': -1.2947865963474312}",5GNmCqRoeFnRjDmo7Zi1ujMp3kvfhgwWP3AugDxDoFn7Pgtv,2026-06-10T13:51:45.556921Z,True,scored,-2.192476034164528
"{'Easy': -2.9571961151520085, 'Medium': -2.9092041847452133, 'Hard': -1.1998646317037767}",5HDfzfykJZrdW3Y2kac1UVEPzJUrN3nE2wFUxn97ywcTWsS8,2026-06-12T12:54:03.323968Z,True,scored,-2.3433861544412995
"{'Easy': -1.7712092868984675, 'Medium': -1.3840316482152533, 'Hard': -3.4451616378696692}",5EegY4k7NMNpXRwxbhS15BesgeekxUhfDyFkmxBAuhqi6FmV,2026-06-11T15:01:53.725260Z,True,scored,-2.3843985980299136
